apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
3340510,3340510,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,N,7,522,7882.578188,1222.5,6.447917,24450,0.322396,9458.44,7.736965,0.386848,7.736965,6.447917,1222.5,-4884,-3.995092,43.599681,35.862716,14.184882,10.18979,2016nf7 (2weeks),3.25,7,0,0,0,0,79.25,12.75,39.25,12.75,3,6,0,0,0,0,28,11,16,16,1.083333,1.166667,0,0,0,0,2.830357,1.159091,2.453125,0.796875
2327302,2327302,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE RAW FROZEN",1.5,N,15,290,2107.060536,1177,1.790196,11770,0.17902,8483.8,7.207986,0.720799,7.207986,1.790196,1177,-1765.5,-1.5,31.166024,23.958037,8.998182,7.498182,2016nf7 (2weeks),1,4,0,0,0,0,34,33,28,5,1,2,0,0,0,0,19,14,8,4,1,2,0,0,0,0,1.789474,2.357143,3.5,1.25
1632758,1632758,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL SKINLESS COOKED FROZEN BULK",2.5,N,7,343,7467.818263,1035,7.215283,10350,0.721528,6010.09,5.80685,0.580685,5.80685,7.215283,1036,-2587.5,-2.5,30.180174,24.373324,13.022133,10.522133,2016nf7 (2weeks),0,2,0,0,0,0,78,19,41,28,0,2,0,0,0,0,26,9,13,16,0,1,0,0,0,0,3,2.111111,3.153846,1.75
4681383,4681383,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA SALTED REF",4,N,10,415,4331.25,825,5.25,24750,0.175,8024.1,9.726182,0.324206,9.726182,5.25,825,-3300,-4,81.321806,71.595624,14.976182,10.976182,2016nf7 (2weeks),12,6,0,0,0,0,40,25,24,22,9,4,0,0,0,0,27,14,16,11,1.333333,1.5,0,0,0,0,1.481481,1.785714,1.5,2
8895328,8895328,POULTRY,"TURKEY, FURTHER PROCESSED","TURKEY BREAST, COOKED, UNSLICED, REFRIGERATED","TURKEY, BREAST WHOLE MUSCLE HONEY SKINLESS COOKED ROASTED UNSLICED REF",0.25,Y,40,315,5783.875137,802,7.211814,7690.15,0.752115,3923.64,4.892319,0.510216,0.510216,0.752115,806,-1922.8,-0.250034,4.931403,4.421187,1.262331,1.012297,2016nf7 (2weeks),6,6,0,0,0,0,49,55,60,62,5,5,0,0,0,0,32,20,17,20,1.2,1.2,0,0,0,0,1.53125,2.75,3.529412,3.1
7332034,7332034,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BOX FRESH REF",3,N,5,372,3678.22266,790,4.655978,39500,0.09312,4866.64,6.160304,0.123206,6.160304,4.655978,790,-2370,-3,29.727772,23.567468,10.816282,7.816282,2016nf7 (2weeks),2,3,0,0,0,0,44,32,42,31,2,3,0,0,0,0,26,15,17,12,1,1,0,0,0,0,1.692308,2.133333,2.470588,2.583333
3327152,3327152,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 10-20 COUNT DRY RAW IQF FROZEN USA WILD",5,N,47,343,6134.410977,772,7.946128,7720,0.794613,9109.28,11.799585,1.179959,11.799585,7.946128,778,-3860,-5,147.785764,135.986179,19.745713,14.745713,2016nf7 (2weeks),0,7,0,0,0,0,25,12,20,17,0,6,0,0,0,0,22,9,11,14,0,1.166667,0,0,0,0,1.136364,1.333333,1.818182,1.214286
6763494,6763494,"FRUITS & VEGETABLES, CANNED & DRIED","VEGETABLES, CANNED","BEANS, BAKED, CANNED","BEAN, BAKED W/ BOURBON MOLASSES & PORK BELLY CANNED",5,N,52,439,8460.417388,768.6667,11.006614,33721.41,0.250892,4668.6,6.073634,0.138446,6.073634,11.006614,774.67,-3840,-4.995663,40.802457,34.728823,17.080248,12.084585,2016nf7 (2weeks),4,6,0,0,0,0,52.6667,19,21,42,3,5,0,0,0,0,44,19,17,21,1.333333,1.2,0,0,0,0,1.19697,1,1.235294,2
1025121,1025121,"PRODUCE, FRESH","MELONS, FRESH","CANTALOUPE, FRESH","CANTALOUPE, 12 COUNT FRESH REF MELON",2,N,12,315,1894.366554,622,3.045605,24880,0.07614,2435.53,3.915643,0.097891,3.915643,3.045605,622,-1244,-2,21.971238,18.055595,6.961248,4.961248,2016nf7 (2weeks),4,5,0,0,0,0,44,24,14,13,2,2,0,0,0,0,29,19,12,9,2,2.5,0,0,0,0,1.517241,1.263158,1.166667,1.444444
1010651,1010651,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, FRESH REF MELON",2,N,14,290,1899.758502,592,3.209052,17760,0.106968,2836.05,4.790625,0.159688,4.790625,3.209052,593,-1184,-2,19.716807,14.926182,7.999677,5.999677,2016nf7 (2weeks),3,3,0,0,0,0,42,23,21,15,3,1,0,0,0,0,30,14,19,13,1,3,0,0,0,0,1.4,1.642857,1.105263,1.153846
