apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
7779077,7779077,"PRODUCE, FRESH","LETTUCE, SPINACH & MICRO GREENS, FRESH","LETTUCE, ICEBERG, FRESH, VALUE ADDED","LETTUCE, ICEBERG GREEN LEAF BETTER BURGER BULK FRESH REF",2,N,14,527,4871.67535045,1326.0000,3.673963,13260.00,0.367396,5232.20000000,3.945852,0.394585,3.945852,3.673963,1327.00,-2652.00,-2.000000,22.197308,18.251456,7.619815,5.619815,2016nf7 (2weeks),806.0000,818.0000,872.0000,888.0000,978.0000,1021.0000,1190.0000,1045.0000,955.0000,947.0000,316,327,343,360,387,371,447,375,358,361,2.550633,2.501529,2.542274,2.466667,2.527132,2.752022,2.662192,2.786667,2.667598,2.623269
3340510,3340510,CHEESE,"CHEESE, PROCESSED","CHEESE, PASTEURIZED/PROCESSED, SLICES","CHEESE, AMERICAN SLICED 120 COUNT TFF PROCESSED YELLOW REF",4,N,7,522,7882.57818759,1222.5000,6.447917,24450.00,0.322396,9458.44000000,7.736965,0.386848,7.736965,6.447917,1222.50,-4884.00,-3.995092,43.599681,35.862716,14.184882,10.189790,2016nf7 (2weeks),609.7500,616.5000,655.5000,856.0000,672.5000,658.5000,1088.0000,585.2500,763.2500,938.0000,298,310,328,340,329,316,443,287,321,312,2.046141,1.988710,1.998476,2.517647,2.044073,2.083861,2.455982,2.039199,2.377726,3.006410
2327302,2327302,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE RAW FROZEN",1.5,N,15,290,2107.06053553,1177.0000,1.790196,11770.00,0.179020,8483.80000000,7.207986,0.720799,7.207986,1.790196,1177.00,-1765.50,-1.500000,31.166024,23.958037,8.998182,7.498182,2016nf7 (2weeks),676.0000,674.0000,741.0000,680.0000,763.0000,826.0000,922.0000,653.0000,744.0000,701.0000,135,128,143,138,150,150,202,131,149,143,5.007407,5.265625,5.181818,4.927536,5.086667,5.506667,4.564356,4.984733,4.993289,4.902098
1632758,1632758,PROCESSED MEAT,HOT DOGS & CORN DOGS,"HOT DOGS, BEEF, FROZEN","HOT DOG, ALL-BEEF 8:1 6"" ROLLER GRILL SKINLESS COOKED FROZEN BULK",2.5,N,7,343,7467.81826321,1035.0000,7.215283,10350.00,0.721528,6010.09000000,5.806850,0.580685,5.806850,7.215283,1036.00,-2587.50,-2.500000,30.180174,24.373324,13.022133,10.522133,2016nf7 (2weeks),410.0000,388.0000,344.0000,411.0000,439.0000,490.0000,753.0000,437.0000,420.0000,354.0000,134,120,132,138,169,151,237,131,147,127,3.059701,3.233333,2.606061,2.978261,2.597633,3.245033,3.177215,3.335878,2.857143,2.787402
4681383,4681383,DAIRY,BUTTER,"BUTTER, REFRIGERATED","BUTTER, SOLID AA SALTED REF",4,N,10,415,4331.25000000,825.0000,5.250000,24750.00,0.175000,8024.10000000,9.726182,0.324206,9.726182,5.250000,825.00,-3300.00,-4.000000,81.321806,71.595624,14.976182,10.976182,2016nf7 (2weeks),563.0000,544.0000,601.0000,586.0000,623.0000,635.0000,746.0000,586.0000,636.0000,619.0000,240,228,251,251,277,257,356,251,269,256,2.345833,2.385965,2.394422,2.334661,2.249097,2.470817,2.095506,2.334661,2.364312,2.417969
8895328,8895328,POULTRY,"TURKEY, FURTHER PROCESSED","TURKEY BREAST, COOKED, UNSLICED, REFRIGERATED","TURKEY, BREAST WHOLE MUSCLE HONEY SKINLESS COOKED ROASTED UNSLICED REF",0.25,Y,40,315,5783.87513733,802.0000,7.211814,7690.15,0.752115,3923.64000000,4.892319,0.510216,0.510216,0.752115,806.00,-1922.80,-0.250034,4.931403,4.421187,1.262331,1.012297,2016nf7 (2weeks),384.0000,418.0000,444.0000,495.0000,518.0000,482.0000,659.0000,508.0000,529.0000,485.0000,138,155,162,168,176,173,219,162,169,156,2.782609,2.696774,2.740741,2.946429,2.943182,2.786127,3.009132,3.135802,3.130178,3.108974
7332034,7332034,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BOX FRESH REF",3,N,5,372,3678.22265992,790.0000,4.655978,39500.00,0.093120,4866.64000000,6.160304,0.123206,6.160304,4.655978,790.00,-2370.00,-3.000000,29.727772,23.567468,10.816282,7.816282,2016nf7 (2weeks),422.0000,432.0000,528.0000,511.0000,517.0000,519.0000,675.0000,528.0000,541.0000,519.0000,181,190,213,213,210,217,301,205,211,201,2.331492,2.273684,2.478873,2.399061,2.461905,2.391705,2.242525,2.575610,2.563981,2.582090
3327152,3327152,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 10-20 COUNT DRY RAW IQF FROZEN USA WILD",5,N,47,343,6134.41097704,772.0000,7.946128,7720.00,0.794613,9109.28000000,11.799585,1.179959,11.799585,7.946128,778.00,-3860.00,-5.000000,147.785764,135.986179,19.745713,14.745713,2016nf7 (2weeks),391.0000,389.0000,481.5000,418.5000,448.0000,435.0000,663.0000,464.0000,514.5000,437.5000,146,151,174,179,171,174,250,156,177,168,2.678082,2.576159,2.767241,2.337989,2.619883,2.500000,2.652000,2.974359,2.906780,2.604167
6763494,6763494,"FRUITS & VEGETABLES, CANNED & DRIED","VEGETABLES, CANNED","BEANS, BAKED, CANNED","BEAN, BAKED W/ BOURBON MOLASSES & PORK BELLY CANNED",5,N,52,439,8460.41738806,768.6667,11.006614,33721.41,0.250892,4668.60000000,6.073634,0.138446,6.073634,11.006614,774.67,-3840.00,-4.995663,40.802457,34.728823,17.080248,12.084585,2016nf7 (2weeks),226.0000,270.0000,270.8333,310.0000,341.3333,349.5000,497.0000,250.0000,267.3333,277.0000,89,110,111,122,152,139,238,112,123,124,2.539326,2.454545,2.439940,2.540984,2.245614,2.514388,2.088235,2.232143,2.173441,2.233871
1025121,1025121,"PRODUCE, FRESH","MELONS, FRESH","CANTALOUPE, FRESH","CANTALOUPE, 12 COUNT FRESH REF MELON",2,N,12,315,1894.36655441,622.0000,3.045605,24880.00,0.076140,2435.53000000,3.915643,0.097891,3.915643,3.045605,622.00,-1244.00,-2.000000,21.971238,18.055595,6.961248,4.961248,2016nf7 (2weeks),312.0000,323.0000,372.0000,348.0000,425.2500,484.0000,519.0000,404.0000,415.0000,354.0000,126,129,145,152,176,185,242,175,165,159,2.476190,2.503876,2.565517,2.289474,2.416193,2.616216,2.144628,2.308571,2.515152,2.226415
1010651,1010651,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, FRESH REF MELON",2,N,14,290,1899.75850218,592.0000,3.209052,17760.00,0.106968,2836.05000000,4.790625,0.159688,4.790625,3.209052,593.00,-1184.00,-2.000000,19.716807,14.926182,7.999677,5.999677,2016nf7 (2weeks),233.0000,271.0000,311.0000,290.0000,340.0000,353.0000,477.4444,389.0000,385.0000,354.0000,104,117,135,131,151,152,210,147,156,145,2.240385,2.316239,2.303704,2.213740,2.251656,2.322368,2.273545,2.646259,2.467949,2.441379
8327256,8327256,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 ROUND RAW FROZEN",1.5,N,6,134,1114.50000000,587.0000,1.898637,5870.00,0.189864,4497.70000000,7.662181,0.766218,7.662181,1.898637,587.00,-880.50,-1.500000,32.023918,24.361738,9.560818,8.060818,2016nf7 (2weeks),359.0000,376.0000,353.0000,350.0000,362.0000,414.0000,510.0000,388.0000,418.0000,345.0000,66,68,73,74,88,80,108,76,81,71,5.439394,5.529412,4.835616,4.729730,4.113636,5.175000,4.722222,5.105263,5.160494,4.859155
2573517,2573517,PROCESSED MEAT,DELI & LUNCHEON MEATS,"PEPPERONI, BULK OR SLICED, REFRIGERATED","PEPPERONI, ALL-MEAT STICK COOKED REF BAG UNCURED",0.25,Y,41,273,1787.41230331,563.0000,3.174800,4447.89,0.401856,2820.10000000,5.009059,0.634031,0.634031,0.401856,563.00,-1112.47,-0.250112,4.236879,3.602848,1.035887,0.785775,2016nf7 (2weeks),335.0000,377.0000,360.0000,363.0000,390.0000,387.0000,498.0000,415.0000,449.5000,410.5000,132,146,150,153,160,151,211,139,152,148,2.537879,2.582192,2.400000,2.372549,2.437500,2.562914,2.360190,2.985612,2.957237,2.773649
1560671,1560671,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE 5/16"" THICK DOUBLE SCORED RAW IQF FR",1.5,N,7,92,1060.50000000,503.0000,2.108350,5030.00,0.210835,2328.96000000,4.630139,0.463014,4.630139,2.108350,503.00,-754.50,-1.500000,30.018350,25.388211,6.738489,5.238489,2016nf7 (2weeks),297.0000,314.0000,356.0000,380.0000,453.0000,344.0000,429.0000,360.0000,396.0000,365.0000,46,46,47,49,54,53,66,55,48,51,6.456522,6.826087,7.574468,7.755102,8.388889,6.490566,6.500000,6.545455,8.250000,7.156863
1782499,1782499,DISPOSABLES,"TISSUE, TOWELS, & PERSONAL HYGIENE, DISPOSABLE","TOWELS, PAPER, DISPOSABLE","TOWEL, LINENLIKE 12X17 FOLDED WHITE GUEST PAPER",8,N,30,113,7401.72000000,479.0000,15.452443,3855.95,1.919558,3765.05000000,7.860230,0.976426,7.860230,15.452443,479.00,-3832.00,-8.000000,47.379353,39.519123,23.312673,15.312673,2016nf7 (2weeks),273.0000,284.0000,315.0000,330.0000,322.0000,347.0000,416.0000,287.0000,310.0000,317.0000,60,63,64,73,70,72,84,69,64,69,4.550000,4.507937,4.921875,4.520548,4.600000,4.819444,4.952381,4.159420,4.843750,4.594203
6327159,6327159,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 20-30 COUNT DRY RAW IQF FROZEN USA WILD",5,N,30,176,3815.15019800,452.0000,8.440598,4520.00,0.844060,5057.23000000,11.188562,1.118856,11.188562,8.440598,452.00,-2260.00,-5.000000,141.197212,130.008650,19.629160,14.629160,2016nf7 (2weeks),219.0000,184.5000,283.0000,219.0000,248.0000,264.0000,385.5000,218.5000,282.0000,263.0000,84,84,103,93,95,85,140,69,94,93,2.607143,2.196429,2.747573,2.354839,2.610526,3.105882,2.753571,3.166667,3.000000,2.827957
6841696,6841696,"GROCERY, REF & FZN","BREAD & DOUGH, REF & FZN","BUNS, HAMBURGER & HOT DOG, FROZEN","BUN, HOT DOG WHITE 6"" TOP SLICED BAKED FROZEN NEW ENGLAND STYLE",3,N,4,181,4351.84059757,452.0000,9.627966,4068.00,1.069774,2314.24000000,5.120000,0.568889,5.120000,9.627966,453.00,-1356.00,-3.000000,27.976792,22.856792,14.747966,11.747966,2016nf7 (2weeks),43.0000,52.0000,67.0000,85.0000,150.0000,178.0000,309.0000,205.0000,243.0000,211.0000,29,30,48,54,67,79,116,70,78,75,1.482759,1.733333,1.395833,1.574074,2.238806,2.253165,2.663793,2.928571,3.115385,2.813333
5283440,5283440,SEAFOOD,"FISH, NOT VALUE ADDED, FZN","SALMON, WHOLE OR CUTS, FROZEN, UNBREADED, UNSMOKED","SALMON, SOCKEYE 6 OZ FILLET BONELESS SKIN-ON MARINATED RAW FROZEN IVP USA W",5,N,54,252,2708.47827647,448.0000,6.045710,4480.00,0.604571,3628.64000000,8.099643,0.809964,8.099643,6.045710,448.00,-2240.00,-5.000000,80.574866,72.475223,14.145353,9.145353,2016nf7 (2weeks),95.0000,118.0000,160.0000,153.0000,172.0000,173.0000,283.0000,176.0000,165.0000,160.0000,57,60,80,76,75,76,136,68,67,58,1.666667,1.966667,2.000000,2.013158,2.293333,2.276316,2.080882,2.588235,2.462687,2.758621
6330831,6330831,EQUIPMENT & SUPPLIES,"SMALLWARES, KITCHEN & BAR","DISPENSERS & HOLDERS, OTHER","DISPENSER, SQUEEZE BOTTLE 12 OZ PLASTIC NATURAL",2,N,52,253,388.14240109,428.0000,0.906875,856.00,0.453437,951.26000000,2.222570,1.111285,2.222570,0.906875,434.00,-856.00,-2.000000,8.768645,6.546075,3.129445,1.129445,2016nf7 (2weeks),32.0000,44.0000,59.0000,65.0000,73.0000,88.0000,153.0000,34.0000,32.0000,49.0000,17,18,24,28,26,23,48,14,15,20,1.882353,2.444444,2.458333,2.321429,2.807692,3.826087,3.187500,2.428571,2.133333,2.450000
