apn,prod_nbr,pim_cls_desc,pim_ctgry_desc,pim_grp_desc,pim_prod_desc_lng,total_allowance_for_flyer,ctch_wt_ind,div_cnt,cust_cnt,ttl_pa,ttl_qty_shipped,pa_per_cs,ttl_wght_shipped,pa_per_lb,ttl_tgp,grss_tgp_cs,grss_tgp_lb,ttl_tgp_uom,ttl_pa_uom,ttl_qty_ordered,ttl_prd_allowance,ttl_prd_allwnc_uom,sell_prc_per_uom,dwacost_per_uom,tgppa_uom,tgppa_pls_prdctallwnc_uom,time_frame,qty_pre6,qty_pre5,qty_pre4,qty_pre3,qty_pre2,qty_pre1,qty_promo,qty_post1,qty_post2,qty_post3,qty_post4,qty_post5,cust_cnt_pre6,cust_cnt_pre5,cust_cnt_pre4,cust_cnt_pre3,cust_cnt_pre2,cust_cnt_pre1,cust_count_promo,cust_cnt_post1,cust_cnt_post2,cust_cnt_post3,cust_cnt_post4,cust_cnt_post5,qty_per_cust_pre6,qty_per_cust_pre5,qty_per_cust_pre4,qty_per_cust_pre3,qty_per_cust_pre2,qty_per_cust_pre1,qty_per_cust_promo,qty_per_cust_post1,qty_per_cust_post2,qty_per_cust_post3
8895328,8895328,POULTRY,"TURKEY, FURTHER PROCESSED","TURKEY BREAST, COOKED, UNSLICED, REFRIGERATED","TURKEY, BREAST WHOLE MUSCLE HONEY SKINLESS COOKED ROASTED UNSLICED REF",0.25,Y,40,315,5783.87513733,802.0000,7.211814,7690.15,0.752115,3923.64000000,4.892319,0.510216,0.510216,0.752115,806.00,-1922.80,-0.250034,4.931403,4.421187,1.262331,1.012297,2016nf7 (2weeks),5.0000,1.0000,0.0000,0.0000,0.0000,0.0000,76.0000,0.0000,0.0000,0.0000,0.0000,0.0000,5,1,0,0,0,0,59,0,0,0,0,1,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.288136,0.000000,0.000000,0.000000
7332034,7332034,"PRODUCE, FRESH","ONIONS, FRESH","ONIONS, YELLOW, FRESH","ONION, YELLOW JUMBO 3""+ BOX FRESH REF",3,N,5,372,3678.22265992,790.0000,4.655978,39500.00,0.093120,4866.64000000,6.160304,0.123206,6.160304,4.655978,790.00,-2370.00,-3.000000,29.727772,23.567468,10.816282,7.816282,2016nf7 (2weeks),17.0000,11.0000,0.0000,0.0000,0.0000,0.0000,63.0000,0.0000,0.0000,0.0000,0.0000,5.0000,3,5,0,0,0,0,42,0,0,0,0,4,5.666667,2.200000,0.000000,0.000000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000
3327152,3327152,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 10-20 COUNT DRY RAW IQF FROZEN USA WILD",5,N,47,343,6134.41097704,772.0000,7.946128,7720.00,0.794613,9109.28000000,11.799585,1.179959,11.799585,7.946128,778.00,-3860.00,-5.000000,147.785764,135.986179,19.745713,14.745713,2016nf7 (2weeks),0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,80.0000,0.0000,0.0000,0.0000,0.0000,4.0000,0,2,0,0,0,0,67,0,0,0,0,3,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.194030,0.000000,0.000000,0.000000
6763494,6763494,"FRUITS & VEGETABLES, CANNED & DRIED","VEGETABLES, CANNED","BEANS, BAKED, CANNED","BEAN, BAKED W/ BOURBON MOLASSES & PORK BELLY CANNED",5,N,52,439,8460.41738806,768.6667,11.006614,33721.41,0.250892,4668.60000000,6.073634,0.138446,6.073634,11.006614,774.67,-3840.00,-4.995663,40.802457,34.728823,17.080248,12.084585,2016nf7 (2weeks),2.0000,3.0000,0.0000,0.0000,0.0000,0.0000,195.0000,0.0000,0.0000,0.0000,0.0000,13.0000,2,3,0,0,0,0,145,0,0,0,0,10,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.344828,0.000000,0.000000,0.000000
1025121,1025121,"PRODUCE, FRESH","MELONS, FRESH","CANTALOUPE, FRESH","CANTALOUPE, 12 COUNT FRESH REF MELON",2,N,12,315,1894.36655441,622.0000,3.045605,24880.00,0.076140,2435.53000000,3.915643,0.097891,3.915643,3.045605,622.00,-1244.00,-2.000000,21.971238,18.055595,6.961248,4.961248,2016nf7 (2weeks),3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,48.0000,0.0000,0.0000,0.0000,0.0000,3.0000,3,0,0,0,0,0,41,0,0,0,0,2,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.170732,0.000000,0.000000,0.000000
1010651,1010651,"PRODUCE, FRESH","MELONS, FRESH","HONEYDEW, FRESH","HONEYDEW, FRESH REF MELON",2,N,14,290,1899.75850218,592.0000,3.209052,17760.00,0.106968,2836.05000000,4.790625,0.159688,4.790625,3.209052,593.00,-1184.00,-2.000000,19.716807,14.926182,7.999677,5.999677,2016nf7 (2weeks),8.0000,2.0000,0.0000,0.0000,0.0000,0.0000,64.0000,0.0000,0.0000,0.0000,0.0000,4.0000,4,2,0,0,0,0,49,0,0,0,0,3,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.306122,0.000000,0.000000,0.000000
8327256,8327256,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 ROUND RAW FROZEN",1.5,N,6,134,1114.50000000,587.0000,1.898637,5870.00,0.189864,4497.70000000,7.662181,0.766218,7.662181,1.898637,587.00,-880.50,-1.500000,32.023918,24.361738,9.560818,8.060818,2016nf7 (2weeks),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,18,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.500000,0.000000,0.000000,0.000000
2573517,2573517,PROCESSED MEAT,DELI & LUNCHEON MEATS,"PEPPERONI, BULK OR SLICED, REFRIGERATED","PEPPERONI, ALL-MEAT STICK COOKED REF BAG UNCURED",0.25,Y,41,273,1787.41230331,563.0000,3.174800,4447.89,0.401856,2820.10000000,5.009059,0.634031,0.634031,0.401856,563.00,-1112.47,-0.250112,4.236879,3.602848,1.035887,0.785775,2016nf7 (2weeks),2.0000,2.0000,0.0000,0.0000,0.0000,0.0000,41.0000,0.0000,0.0000,0.0000,0.0000,1.0000,2,2,0,0,0,0,40,0,0,0,0,1,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.025000,0.000000,0.000000,0.000000
1560671,1560671,BEEF,"BEEF, GROUND","BEEF, PATTIES, RAW, FROZEN","BEEF, PATTY GROUND 80/20 4:1 HOMESTYLE 5/16"" THICK DOUBLE SCORED RAW IQF FR",1.5,N,7,92,1060.50000000,503.0000,2.108350,5030.00,0.210835,2328.96000000,4.630139,0.463014,4.630139,2.108350,503.00,-754.50,-1.500000,30.018350,25.388211,6.738489,5.238489,2016nf7 (2weeks),2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,49.0000,0.0000,0.0000,0.0000,0.0000,9.0000,2,0,0,0,0,0,19,0,0,0,0,3,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.578947,0.000000,0.000000,0.000000
1782499,1782499,DISPOSABLES,"TISSUE, TOWELS, & PERSONAL HYGIENE, DISPOSABLE","TOWELS, PAPER, DISPOSABLE","TOWEL, LINENLIKE 12X17 FOLDED WHITE GUEST PAPER",8,N,30,113,7401.72000000,479.0000,15.452443,3855.95,1.919558,3765.05000000,7.860230,0.976426,7.860230,15.452443,479.00,-3832.00,-8.000000,47.379353,39.519123,23.312673,15.312673,2016nf7 (2weeks),0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,44.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0,0,0,0,0,0,20,0,0,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.200000,0.000000,0.000000,0.000000
6327159,6327159,SEAFOOD,"SHELLFISH, OTHER, FZN","SCALLOP, UNBREADED FROZEN","SCALLOP, SEA 20-30 COUNT DRY RAW IQF FROZEN USA WILD",5,N,30,176,3815.15019800,452.0000,8.440598,4520.00,0.844060,5057.23000000,11.188562,1.118856,11.188562,8.440598,452.00,-2260.00,-5.000000,141.197212,130.008650,19.629160,14.629160,2016nf7 (2weeks),2.0000,9.0000,0.0000,0.0000,0.0000,0.0000,36.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,4,0,0,0,0,24,0,0,0,0,0,1.000000,2.250000,0.000000,0.000000,0.000000,0.000000,1.500000,0.000000,0.000000,0.000000
